ID,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
977,Renault,Duster85 PS RXL OPT,"£407,099.00",2013,Delhi,Diesel,76169KM,Manual,1,9056
978,Honda,Brio1.2 S MT I VTEC,"£400,000.00",2016,Delhi,Petrol,36373KM,Manual,1,8898
979,Maruti,RitzVDI,"£310,999.00",2013,Delhi,Diesel,66549KM,Manual,1,6918
980,Honda,CityS MT PETROL,"£334,999.00",2010,Delhi,Petrol,81442KM,Manual,3,7452
981,Toyota,Etios LivaGD,"£314,199.00",2013,Delhi,Diesel,67401KM,Manual,1,6989
982,Mahindra,Kuv100K6+ D 6 STR,"£401,799.00",2017,Delhi,Diesel,48100KM,Manual,1,8938
983,Honda,CityS AT,"£422,399.00",2012,Delhi,Petrol,77333KM,Automatic,4,9396
984,Hyundai,Grand i10MAGNA 1.1 CRDI,"£298,000.00",2015,Delhi,Diesel,61914KM,Manual,1,6629
985,Maruti,,"£437,099.00",2020,Delhi,Petrol,19104KM,,1,9723
986,Hyundai,Elite i20ASTA 1.4 CRDI,"£576,000.00",2017,Delhi,Diesel,49507KM,Manual,1,12813
987,Maruti,Vitara BrezzaLDI OPT,"£725,000.00",2017,Delhi,Diesel,50363KM,Manual,1,16127
988,Honda,CityZX CVT,"£1,422,000.00",2020,Delhi,Petrol,21158KM,Automatic,1,31632
989,Toyota,EtiosGD,"£292,799.00",2013,Delhi,Diesel,93938KM,Manual,2,6513
990,Maruti,CiazDELTA 1.5 SHVS VVT MT,"£795,699.00",2019,Delhi,Petrol,7620KM,Manual,2,17700
991,Maruti,SwiftVDI,"£341,399.00",2013,Delhi,Diesel,70684KM,Manual,1,7594
992,Honda,Amaze1.2 SAT I VTEC,"£475,000.00",2016,Delhi,Petrol,50290KM,Automatic,1,10566
993,Honda,CityS MT PETROL,"£327,899.00",2011,Delhi,Petrol,86581KM,Manual,2,7294
994,MG,HECTORSHARP DCT PETROL,"£1,850,000.00",2019,Delhi,Petrol,2054KM,Automatic,1,41152
995,Maruti,CiazSHVS VDI,"£578,199.00",2016,Delhi,Diesel,57631KM,Manual,1,12862
996,Renault,KwidRXT Opt,"£258,499.00",2015,Delhi,Petrol,70590KM,Manual,1,5750
997,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,"£505,199.00",2017,Delhi,Petrol,35013KM,Manual,2,11238
998,Chevrolet,Aveo U VALS 1.2,"£165,000.00",2012,Delhi,Petrol,71131KM,Manual,1,3670
999,Honda,City ZXGXI,"£165,199.00",2008,Delhi,Petrol,102509KM,Manual,1,3675
1000,Maruti,SwiftVDI ABS,"£405,399.00",2015,Delhi,Diesel,66476KM,Manual,1,9018
1001,Maruti,Vitara BrezzaVDI,"£887,599.00",2019,Delhi,Diesel,17831KM,Manual,1,19744
1002,Hyundai,Grand i10SPORTS 1.2 VTVT,"£373,799.00",2016,Delhi,Petrol + CNG,54578KM,Manual,2,8315
1003,Honda,Accord2.4 AT I VTEC,"£412,699.00",2008,Delhi,Petrol,61728KM,Automatic,2,9180
1004,Maruti,IGNISZETA 1.2 K12,"£478,000.00",2017,Delhi,Petrol,34036KM,Manual,1,10633
1005,Renault,KwidRXT,"£381,000.00",2019,Delhi,Petrol,31898KM,Manual,1,8475
1006,Maruti,Swift DzireVXI,"£229,099.00",2010,Delhi,Petrol,120919KM,Manual,1,5096
1007,Maruti,SwiftVDI,"£354,099.00",2014,Delhi,Diesel,82346KM,Manual,1,7877
1008,Maruti,ErtigaZXI Plus SHVS,"£927,799.00",2019,Delhi,Petrol,8122KM,Manual,1,20638
1009,Hyundai,VernaFLUIDIC 1.6 SX CRDI,"£399,699.00",2012,Delhi,Diesel,73770KM,Manual,1,8891
1010,Hyundai,EonERA PLUS,"£276,899.00",2014,Delhi,Petrol,40438KM,Manual,2,6159
1011,Maruti,BalenoALPHA DDIS 190,"£524,000.00",2015,Delhi,Diesel,65431KM,Manual,1,11656
1012,Maruti,BalenoALPHA 1.2 K12,"£726,000.00",2019,Delhi,Petrol,9663KM,Manual,1,16149
1013,Maruti,Vitara BrezzaZDI,"£643,799.00",2016,Delhi,Diesel,58078KM,Manual,1,14321
1014,Maruti,Alto 800LXI,"£360,000.00",2019,Delhi,Petrol,32617KM,Manual,1,8008
1015,Ford,Ecosport1.5 TDCI TITANIUM PLUS,"£809,299.00",2018,Delhi,Diesel,40788KM,Manual,1,18002
1016,Renault,,"£641,000.00",2020,Delhi,Petrol,25232KM,,1,14259
1017,Hyundai,i10MAGNA 1.2 KAPPA2,"£314,699.00",2013,Delhi,Petrol,52814KM,Manual,2,7000
1018,Maruti,Vitara BrezzaVDI,"£699,199.00",2018,Delhi,Diesel,40769KM,Manual,1,15553
1019,Honda,Amaze1.5 SMT I DTEC,"£370,000.00",2015,Delhi,Diesel,70311KM,Manual,1,8230
1020,Maruti,Alto K10VXI,"£316,599.00",2014,Delhi,Petrol,42373KM,Manual,2,7043
1021,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,"£421,699.00",2016,Delhi,Petrol,56653KM,Manual,1,9380
1022,Maruti,Alto 800LXI,"£220,899.00",2014,Delhi,Petrol,66835KM,Manual,1,4914
1023,Toyota,EtiosGD,"£388,299.00",2012,Delhi,Diesel,65756KM,Manual,1,8637
1024,Toyota,Etios LivaD 4D GD,"£442,299.00",2015,Delhi,Diesel,64927KM,Manual,1,9839
1025,Maruti,SwiftVDI ABS,"£562,699.00",2015,Delhi,Diesel,41405KM,Manual,1,12517
1026,Hyundai,VENUE1.0 TURBO GDI SX+ AT,"£1,092,599.00",2019,Delhi,Petrol,17949KM,Automatic,1,24304
1027,Maruti,Vitara BrezzaVDI,"£773,299.00",2019,Delhi,Diesel,26930KM,Manual,1,17202
1028,Maruti,SwiftLXI 1.3,"£196,599.00",2008,Delhi,Petrol,86350KM,Manual,1,4373
1029,Maruti,Vitara BrezzaVDI,"£817,999.00",2019,Delhi,Diesel,24035KM,Manual,2,18196
1030,Maruti,BalenoDELTA 1.2 K12,"£493,599.00",2016,Delhi,Petrol,50140KM,Manual,2,10980
1031,Maruti,BalenoALPHA DDIS 190,"£563,799.00",2016,Delhi,Diesel,63380KM,Manual,1,12541
1032,Maruti,Vitara BrezzaVDI,"£823,499.00",2019,Delhi,Diesel,24974KM,Manual,1,18318
1033,Toyota,EtiosGD,"£280,799.00",2012,Delhi,Diesel,82053KM,Manual,1,6246
1034,Honda,Accord2.4 MT,"£265,000.00",2009,Delhi,Petrol,67962KM,Manual,3,5895
1035,Maruti,Vitara BrezzaVDI,"£822,799.00",2019,Delhi,Diesel,27711KM,Manual,1,18303
1036,Maruti,AltoLXI,"£118,199.00",2008,Delhi,Petrol,82904KM,Manual,1,2629
1037,Mercedes,Benz C ClassC 220 CDI AVANTGARDE,"£1,205,699.00",2012,Delhi,Diesel,23771KM,Automatic,1,26820
1038,Maruti,Alto K10VXI,"£312,199.00",2018,Delhi,Petrol,53488KM,Manual,1,6945
1039,Maruti,Swift DzireZDI,"£365,899.00",2012,Delhi,Diesel,79396KM,Manual,1,8139
1040,Maruti,A StarVXI,"£184,599.00",2009,Delhi,Petrol,60080KM,Manual,3,4106
1041,Maruti,Vitara BrezzaZDI PLUS DUAL TONE,"£828,999.00",2018,Delhi,Diesel,15247KM,Manual,1,18441
1042,Honda,Brio1.2 VX AT I VTEC,"£421,699.00",2014,Delhi,Petrol,68437KM,Automatic,2,9380
1043,Maruti,Wagon R 1.0VXI,"£395,099.00",2018,Delhi,Petrol,36481KM,Manual,1,8789
1044,Maruti,Swift DzireVDI BS IV,"£430,699.00",2014,Delhi,Diesel,72575KM,Manual,1,9581
1045,Hyundai,Creta1.6 S,"£851,099.00",2015,Delhi,Petrol,22013KM,Manual,1,18932
1046,Honda,CityVX CVT PETROL,"£675,000.00",2014,Delhi,Petrol,61798KM,Automatic,1,15015
1047,Hyundai,Grand i10MAGNA 1.2 KAPPA VTVT,"£410,099.00",2017,Delhi,Petrol,64174KM,Manual,1,9122
1048,Maruti,Swift DzireVDI BS IV,"£378,299.00",2012,Delhi,Diesel,81549KM,Manual,1,8415
1049,Maruti,CiazZETA 1.4 VVT,"£850,000.00",2018,Delhi,Petrol,9718KM,Manual,1,18908
1050,Maruti,SwiftVXI,"£644,099.00",2019,Delhi,Petrol,25529KM,Manual,1,14328
1051,Maruti,Vitara BrezzaVDI,"£877,099.00",2019,Delhi,Diesel,19254KM,Manual,1,19511
1052,Maruti,Swift DzireVDI BS IV,"£458,000.00",2015,Delhi,Diesel,69968KM,Manual,1,10188
1053,Maruti,Swift DzireVXI 1.2 BS IV,"£320,099.00",2011,Delhi,Petrol,57458KM,Manual,1,7120
1054,Maruti,Vitara BrezzaVDI,"£685,299.00",2016,Delhi,Diesel,57731KM,Manual,1,15244
1055,Ford,,"£866,799.00",2019,Delhi,Petrol,28368KM,,1,19281
1056,Hyundai,EonD LITE PLUS,"£226,799.00",2014,Delhi,Petrol,64105KM,Manual,1,5045
1057,Maruti,Swift DzireVDI BS IV,"£334,699.00",2012,Delhi,Diesel,81808KM,Manual,1,7445
1058,Maruti,AltoLXI,"£171,000.00",2012,Delhi,Petrol,72554KM,Manual,1,3804
1059,Maruti,Vitara BrezzaVDI OPT,"£694,699.00",2018,Delhi,Diesel,35796KM,Manual,1,15453
1060,Nissan,TerranoXV PREMIUM 110 PS AMT DEISEL,"£712,899.00",2017,Delhi,Diesel,47956KM,Automatic,1,15858
1061,Maruti,SwiftVDI,"£330,699.00",2013,Delhi,Diesel,76526KM,Manual,1,7356
1062,Maruti,Alto 800LXI,"£235,199.00",2015,Delhi,Petrol,65644KM,Manual,1,5232
1063,Maruti,SwiftVDI ABS,"£484,799.00",2017,Delhi,Diesel,68792KM,Manual,1,10784
1064,Maruti,Swift DzireVDI BS IV,"£431,299.00",2015,Delhi,Diesel,69039KM,Manual,1,9594
1065,Honda,Brio1.2 S MT I VTEC,"£291,894.00",2013,Delhi,Petrol,49601KM,Manual,1,6493
1066,Hyundai,Elite i20MAGNA 1.4 CRDI,"£538,599.00",2014,Delhi,Diesel,48180KM,Manual,1,11981
1067,Honda,CitySV MT PETROL,"£571,299.00",2014,Delhi,Petrol,61067KM,Manual,2,12708
1068,Honda,City1.5 V MT,"£950,000.00",2019,Delhi,Petrol,30906KM,Manual,1,21132
1069,Hyundai,Elite i20MAGNA 1.4 CRDI,"£464,499.00",2015,Delhi,Diesel,76443KM,Manual,1,10333
1070,Honda,CityVX CVT PETROL,"£785,000.00",2016,Delhi,Petrol,33910KM,Automatic,1,17462
1071,Maruti,SwiftVXI,"£490,000.00",2018,Delhi,Petrol,46003KM,Manual,1,10900
1072,Volkswagen,AmeoTRENDLINE 1.2,"£450,099.00",2017,Delhi,Petrol,39930KM,Manual,2,10012
1073,Maruti,Alto 800VXI,"£300,000.00",2018,Delhi,Petrol,34367KM,Manual,1,6673
1074,Maruti,Vitara BrezzaVDI,"£657,899.00",2017,Delhi,Diesel,51673KM,Manual,2,14635
1075,Maruti,BalenoDELTA 1.2 K12,"£622,799.00",2017,Delhi,Petrol,29233KM,Manual,1,13854
1076,Renault,KwidRXT Opt,"£237,199.00",2016,Delhi,Petrol,87631KM,Manual,1,5276
1077,Maruti,Swift DzireVXI 1.2 BS IV,"£254,000.00",2011,Delhi,Petrol,59473KM,Manual,1,5650
1078,Maruti,DzireZDI Plus AMT,"£558,399.00",2017,Delhi,Diesel,80717KM,Automatic,1,12421
1079,Maruti,SwiftVDI,"£410,299.00",2013,Delhi,Diesel,76608KM,Manual,1,9127
1080,Maruti,BalenoDELTA 1.2 K12,"£497,000.00",2015,Delhi,Petrol,47734KM,Manual,1,11055
1081,Hyundai,EonERA PLUS,"£225,000.00",2014,Delhi,Petrol,54530KM,Manual,1,5005
1082,Maruti,Vitara BrezzaZDI,"£744,599.00",2016,Delhi,Diesel,54460KM,Manual,1,16563
1083,Maruti,ErtigaZXI PLUS,"£656,599.00",2017,Delhi,Petrol,44971KM,Manual,1,14606
1084,Maruti,BalenoZETA 1.2 K12,"£544,000.00",2016,Delhi,Petrol,41691KM,Manual,1,12101
1085,Maruti,RitzVDI,"£278,599.00",2013,Delhi,Diesel,76553KM,Manual,1,6197
1086,Maruti,Swift DzireLDI BS IV,"£333,000.00",2014,Delhi,Diesel,62386KM,Manual,1,7407
1087,Honda,Amaze1.2 S (O) MT I VTEC,"£521,000.00",2018,Delhi,Petrol,23617KM,Manual,1,11589
1088,Hyundai,,"£1,434,799.00",2020,Delhi,Diesel,27629KM,,1,31916
1089,Maruti,BalenoZETA DDIS 190,"£550,999.00",2016,Delhi,Diesel,50018KM,Manual,1,12257
1090,Renault,Kwid1.0 RXT Opt,"£440,000.00",2020,Delhi,Petrol,20528KM,Manual,1,9788
1091,Maruti,Swift DzireVDI BS IV,"£373,499.00",2013,Delhi,Diesel,76462KM,Manual,1,8308
1092,Hyundai,Elite i20SPORTZ 1.2,"£570,000.00",2017,Delhi,Petrol,34724KM,Manual,1,12679
1093,Maruti,RitzVDI,"£228,399.00",2012,Delhi,Diesel,80575KM,Manual,2,5081
1094,Ford,Ecosport1.5TITANIUM TDCI,"£620,800.00",2017,Delhi,Diesel,55570KM,Manual,2,13809
1095,Maruti,SwiftVDI ABS,"£401,199.00",2015,Delhi,Diesel,63642KM,Manual,1,8924
1096,Toyota,Etios LivaD 4D GD,"£312,099.00",2014,Delhi,Diesel,76528KM,Manual,1,6942
1097,Honda,WR-V1.2 i-VTEC VX MT,"£766,000.00",2018,Delhi,Petrol,31547KM,Manual,1,17039
1098,Maruti,SwiftVDI ABS,"£384,299.00",2014,Delhi,Diesel,97711KM,Manual,1,8549
1099,Maruti,DzireVXI,"£472,999.00",2017,Delhi,Petrol,84757KM,Manual,1,10522
1100,Honda,Amaze1.2 SMT I VTEC,"£587,000.00",2019,Delhi,Petrol,33940KM,Manual,2,13057
1101,Maruti,DzireVDI,"£541,399.00",2017,Delhi,Diesel,60278KM,Manual,1,12043
1102,Hyundai,,"£995,999.00",2019,Delhi,Diesel,31604KM,,1,22155
1103,Maruti,CelerioZXI,"£495,599.00",2018,Delhi,Petrol,33585KM,Manual,1,11024
1104,Maruti,DzireVDI,"£724,299.00",2018,Delhi,Diesel,29001KM,Manual,1,16112
1105,Maruti,SwiftZDI,"£315,699.00",2012,Delhi,Diesel,80936KM,Manual,1,7023
1106,Maruti,SwiftVDI,"£305,899.00",2012,Delhi,Diesel,80682KM,Manual,1,6805
1107,Hyundai,Grand i10Magna 1.2 AT  VTVT,"£450,000.00",2016,Delhi,Petrol,63318KM,Automatic,1,10010
1108,Hyundai,i20SPORTZ 1.2 O,"£250,000.00",2010,Delhi,Petrol,53720KM,Manual,1,5561
1109,Maruti,SwiftVDI,"£309,799.00",2012,Delhi,Diesel,82585KM,Manual,1,6891
1110,Hyundai,Grand i10SPORTS 1.2 VTVT,"£456,000.00",2017,Delhi,Petrol,45251KM,Manual,1,10143
1111,Hyundai,i20SPORTZ 1.2 O,"£328,399.00",2012,Delhi,Petrol,79856KM,Manual,2,7305
1112,Hyundai,i20MAGNA 1.2 VTVT,"£226,999.00",2010,Delhi,Petrol,47666KM,Manual,1,5049
1113,Maruti,,"£1,083,430.00",2019,Delhi,Petrol,13552KM,,1,24100
1114,Toyota,EtiosG,"£283,599.00",2011,Delhi,Petrol,81892KM,Manual,1,6309
1115,Maruti,AltoLXI,"£248,299.00",2010,Delhi,Petrol,41508KM,Manual,1,5523
1116,KIA,,"£1,700,399.00",2019,Delhi,Petrol,10598KM,,1,37824
1117,Toyota,Fortuner2.8 4x2 AT,"£2,724,199.00",2018,Delhi,Diesel,25870KM,Automatic,4,60598
1118,Hyundai,Santro XingGL,"£151,899.00",2008,Delhi,Petrol,91288KM,Manual,1,3379
1119,Hyundai,VernaFLUIDIC 1.6 EX CRDI,"£466,799.00",2013,Delhi,Diesel,32862KM,Manual,2,10384
1120,Maruti,SwiftVXI,"£557,199.00",2017,Delhi,Petrol,58074KM,Manual,1,12395
1121,Maruti,Swift DzireVDI BS IV,"£571,899.00",2017,Delhi,Diesel,51767KM,Manual,2,12722
1122,Maruti,SwiftZDI,"£326,799.00",2012,Delhi,Diesel,84352KM,Manual,1,7269
1123,Maruti,Vitara BrezzaZDI,"£728,499.00",2018,Delhi,Diesel,40249KM,Manual,1,16205
1124,Skoda,Rapid1.6 TDI MT AMBITION,"£384,799.00",2013,Delhi,Diesel,66577KM,Manual,1,8560
1125,Hyundai,Elite i201.4 CRDI ASTA (O),"£524,699.00",2015,Delhi,Diesel,71828KM,Manual,2,11672
1126,Hyundai,Verna1.6 SX VTVT,"£840,199.00",2018,Delhi,Petrol,19673KM,Manual,1,18690
1127,Maruti,BalenoDELTA 1.2 K12,"£558,099.00",2017,Delhi,Petrol,37507KM,Manual,1,12415
1128,Maruti,ErtigaZDI,"£603,000.00",2015,Delhi,Diesel,65754KM,Manual,1,13413
1129,Honda,City1.5 V MT,"£950,000.00",2019,Delhi,Petrol,30910KM,Manual,1,21132
1130,Ford,Ecosport1.5 TITANIUM TI VCT,"£835,000.00",2018,Delhi,Petrol,25645KM,Manual,1,18574
1131,Maruti,,"£535,000.00",2016,Delhi,Diesel,71354KM,,1,11901
1132,Maruti,Vitara BrezzaVDI,"£895,199.00",2019,Delhi,Diesel,25374KM,Manual,1,19913
1133,Ford,Ecosport1.5AMBIENTE TI VCT,"£524,599.00",2016,Delhi,Petrol,74781KM,Manual,2,11669
1134,Maruti,Vitara BrezzaVDI OPT,"£714,699.00",2018,Delhi,Diesel,45737KM,Manual,1,15898
1135,Maruti,CelerioZXI,"£358,899.00",2016,Delhi,Petrol,72059KM,Manual,1,7984
1136,Toyota,Innova2.5 VX 7 STR BS IV,"£852,799.00",2015,Delhi,Diesel,73147KM,Manual,2,18970
1137,KIA,SELTOSHTK 1.5 PETROL,"£1,198,599.00",2019,Delhi,Petrol,14792KM,Manual,1,26662
1138,Chevrolet,BeatLS DIESEL,"£163,000.00",2014,Delhi,Diesel,89872KM,Manual,1,3626
1139,Maruti,Swift DzireVDI,"£431,499.00",2013,Delhi,Diesel,69373KM,Manual,1,9598
1140,Honda,CityS MT DIESEL,"£487,499.00",2014,Delhi,Diesel,69406KM,Manual,1,10844
1141,Maruti,AltoLXI,"£359,000.00",2020,Delhi,Petrol,11500KM,Manual,1,7986
1142,Renault,KwidRXL,"£309,000.00",2018,Delhi,Petrol,50104KM,Manual,1,6874
1143,Hyundai,Creta1.6 SX VTVT,"£1,185,000.00",2019,Delhi,Petrol,9697KM,Manual,1,26360
1144,Maruti,Vitara BrezzaVDI,"£740,799.00",2018,Delhi,Diesel,38325KM,Manual,1,16479
1145,Maruti,BalenoDELTA 1.2 K12,"£625,000.00",2018,Delhi,Petrol,32165KM,Manual,1,13903
1146,Hyundai,Elite i20Magna Executive 1.2,"£580,000.00",2018,Delhi,Petrol,28544KM,Manual,1,12902
1147,Honda,Jazz1.2 SELECT I VTEC,"£373,199.00",2012,Delhi,Petrol,65383KM,Manual,1,8302
1148,Skoda,RapidAMBITION 1.6 MPFI MT,"£630,000.00",2017,Delhi,Petrol,24545KM,Manual,1,14014
1149,Hyundai,Elite i20SPORTZ 1.2,"£513,599.00",2017,Delhi,Petrol,74267KM,Manual,1,11425
1150,Maruti,SwiftLXI,"£520,000.00",2019,Delhi,Petrol,19237KM,Manual,1,11567
1151,Maruti,Vitara BrezzaZXI AT SHVS,"£1,077,699.00",2020,Delhi,Petrol,20024KM,Automatic,1,23973
1152,Toyota,Etios LivaD 4D GD,"£275,999.00",2013,Delhi,Diesel,106314KM,Manual,2,6139
1153,Maruti,A StarVXI,"£217,499.00",2009,Delhi,Petrol,62155KM,Manual,1,4838
1154,Hyundai,i20SPORTZ 1.2 VTVT,"£323,000.00",2012,Delhi,Petrol,83226KM,Manual,1,7185
1155,Ford,Ecosport1.5 TITANIUM TI VCT,"£473,299.00",2013,Delhi,Petrol,83737KM,Manual,1,10528
1156,Mahindra,ScorpioS6 PLUS,"£874,899.00",2017,Delhi,Diesel,42322KM,Manual,1,19462
1157,Maruti,Swift DzireVDI BS IV,"£422,499.00",2012,Delhi,Diesel,77500KM,Manual,1,9398
1158,Honda,Jazz1.2 SELECT I VTEC,"£275,000.00",2010,Delhi,Petrol,53744KM,Manual,1,6117
1159,Maruti,,"£540,599.00",2016,Delhi,Diesel,78339KM,,2,12025
1160,Maruti,Vitara BrezzaVDI OPT,"£750,799.00",2017,Delhi,Diesel,38706KM,Manual,1,16701
1161,Hyundai,VernaFLUIDIC 1.6 SX CRDI,"£372,499.00",2012,Delhi,Diesel,84417KM,Manual,1,8286
1162,Maruti,SwiftVDI,"£322,899.00",2012,Delhi,Diesel,84213KM,Manual,1,7183
1163,Maruti,RitzLXI,"£268,099.00",2010,Delhi,Petrol,77639KM,Manual,2,5964
1164,Maruti,Eeco5 STR CNG WITH HTR,"£437,799.00",2018,Delhi,Petrol + CNG,47263KM,Manual,1,9739
1165,Maruti,RitzVXI,"£257,499.00",2009,Delhi,Petrol,80590KM,Manual,1,5728
1166,Ford,FiestaTITANIUM PETROL,"£290,599.00",2011,Delhi,Petrol,80477KM,Manual,3,6464
1167,Honda,CityS MT PETROL,"£348,799.00",2010,Delhi,Petrol,86768KM,Manual,3,7759
1168,Hyundai,EonMAGNA PLUS,"£289,599.00",2013,Delhi,Petrol,56037KM,Manual,1,6442
1169,Maruti,Vitara BrezzaVDI,"£735,000.00",2018,Delhi,Diesel,50854KM,Manual,1,16350
1170,Maruti,Alto K10LXI,"£220,799.00",2011,Delhi,Petrol,70345KM,Manual,1,4912
1171,Mahindra,ScorpioS10,"£1,049,099.00",2016,Delhi,Diesel,59831KM,Manual,1,23337
1172,Maruti,Vitara BrezzaZDI + AMT,"£957,299.00",2018,Delhi,Diesel,15077KM,Automatic,1,21295
1173,Maruti,RitzVXI BS IV,"£235,000.00",2011,Delhi,Petrol,75011KM,Manual,1,5227
1174,Maruti,SwiftVDI ABS,"£414,199.00",2015,Delhi,Diesel,72533KM,Manual,2,9214
1175,Maruti,Swift DzireZDI,"£357,799.00",2012,Delhi,Diesel,86622KM,Manual,1,7959
1176,Maruti,Swift DzireZDI,"£378,099.00",2013,Delhi,Diesel,77823KM,Manual,1,8411
1177,Honda,Amaze1.5 SMT I DTEC,"£308,000.00",2013,Delhi,Diesel,75191KM,Manual,2,6851
1178,Maruti,Swift DzireZDI,"£397,299.00",2013,Delhi,Diesel,88228KM,Manual,1,8838
1179,Hyundai,,"£952,099.00",2018,Delhi,Diesel,30934KM,,1,21179
1180,Maruti,SwiftVDI,"£370,799.00",2015,Delhi,Diesel,86567KM,Manual,1,8248
1181,Maruti,CiazVDI+ SHVS,"£611,499.00",2017,Delhi,Diesel,81751KM,Manual,1,13602
1182,Maruti,Alto 800LXI,"£318,999.00",2016,Delhi,Petrol,64645KM,Manual,1,7096
1183,Maruti,RitzVDI,"£284,299.00",2013,Delhi,Diesel,70687KM,Manual,1,6324
1184,Honda,,"£514,699.00",2012,Delhi,Petrol,68161KM,,1,11449
1185,Maruti,Alto 800LXI,"£227,099.00",2015,Delhi,Petrol,61079KM,Manual,3,5052
1186,Ford,Ecosport1.5 TITANIUM TI VCT,"£684,699.00",2016,Delhi,Petrol,53896KM,Manual,1,15231
1187,Maruti,Vitara BrezzaVDI,"£791,499.00",2019,Delhi,Diesel,37057KM,Manual,1,17606
1188,Hyundai,Grand i10MAGNA 1.2 VTVT,"£384,899.00",2016,Delhi,Petrol,65895KM,Manual,3,8562
1189,Honda,CityVX CVT PETROL,"£850,000.00",2017,Delhi,Petrol,43325KM,Automatic,2,18908
1190,Hyundai,Elite i20MAGNA 1.2,"£470,000.00",2016,Delhi,Petrol,65031KM,Manual,1,10455
1191,Mahindra,ScorpioS11,"£1,725,000.00",2019,Delhi,Diesel,7881KM,Manual,1,38372
1192,Honda,Amaze1.5 SMT I DTEC,"£278,799.00",2013,Delhi,Diesel,87405KM,Manual,1,6202
1193,Mahindra,,"£1,198,999.00",2018,Delhi,Diesel,20741KM,,1,26671
1194,Maruti,Swift DzireLDI BS IV,"£286,499.00",2013,Delhi,Diesel,72772KM,Manual,1,6373
1195,Mahindra,,"£800,000.00",2018,Delhi,Diesel,22877KM,,1,17796
1196,Mahindra,TharCRDE 4X4 BS IV,"£1,000,000.00",2019,Delhi,Diesel,6609KM,Manual,1,22244
1197,Maruti,Swift DzireVDI BS IV,"£358,699.00",2013,Delhi,Diesel,79248KM,Manual,2,7979
1198,Ford,Figo1.2 EXI DURATEC,"£170,108.00",2010,Delhi,Petrol,67417KM,Manual,1,3784
1199,Maruti,IGNISZETA 1.2 K12,"£510,099.00",2017,Delhi,Petrol,42049KM,Manual,1,11347
1200,Maruti,Vitara BrezzaZDI,"£718,000.00",2018,Delhi,Diesel,64151KM,Manual,1,15972
1201,Hyundai,i20MAGNA O 1.2,"£345,000.00",2013,Delhi,Petrol,60410KM,Manual,1,7674
1202,Maruti,,"£497,799.00",2015,Delhi,Diesel,78413KM,,1,11073
1203,Honda,Jazz1.2 S MT,"£605,000.00",2018,Delhi,Petrol + CNG,54598KM,Manual,1,13458
1204,Maruti,SwiftVXI,"£389,699.00",2014,Delhi,Petrol,71876KM,Manual,1,8669
1205,Maruti,Alto 800LXI,"£337,799.00",2018,Delhi,Petrol,43644KM,Manual,1,7514
1206,Maruti,Vitara BrezzaVDI AMT,"£875,000.00",2018,Delhi,Diesel,28932KM,Manual,1,19464
1207,Honda,CityV MT PETROL,"£309,999.00",2010,Delhi,Petrol,96300KM,Manual,1,6896
1208,Skoda,FabiaAMBIENTE 1.2 MPI,"£245,000.00",2012,Delhi,Petrol,65739KM,Manual,1,5450
1209,Hyundai,VENUE1.0L Turbo GDI SX MT,"£899,099.00",2019,Delhi,Petrol,16832KM,Manual,1,20000
1210,Maruti,AltoLXI,"£140,799.00",2008,Delhi,Petrol,79093KM,Manual,1,3132
1211,Maruti,SwiftVDI,"£289,899.00",2012,Delhi,Diesel,98323KM,Manual,1,6449
1212,Maruti,SwiftVDI,"£342,199.00",2014,Delhi,Diesel,70681KM,Manual,2,7612
1213,Hyundai,,"£1,013,699.00",2019,Delhi,Diesel,25835KM,,1,22549
1214,Maruti,RitzVXI GENUS,"£202,000.00",2010,Delhi,Petrol,80283KM,Manual,2,4493
1215,Chevrolet,Sail UVA1.2 LS,"£234,000.00",2015,Delhi,Petrol,51284KM,Manual,2,5205
1216,Maruti,Alto 800LXI,"£310,000.00",2017,Delhi,Petrol + CNG,53631KM,Manual,1,6896
1217,Maruti,SwiftVDI,"£339,199.00",2013,Delhi,Diesel,87567KM,Manual,1,7545
1218,Hyundai,Tucson New2WD AT GL DIESEL,"£1,754,099.00",2018,Delhi,Diesel,58368KM,Automatic,1,39019
1219,Hyundai,,"£1,023,399.00",2018,Delhi,Diesel,43362KM,,1,22765
1220,Maruti,RitzVXI BS IV,"£256,000.00",2013,Delhi,Petrol,88245KM,Manual,1,5695
1221,Hyundai,Grand i10SPORTS 1.2 VTVT,"£423,799.00",2017,Delhi,Petrol,52175KM,Manual,2,9427
1222,Hyundai,i20ASTA 1.2,"£321,799.00",2009,Delhi,Petrol,70210KM,Manual,1,7158
1223,Maruti,Swift DzireVDI BS IV,"£327,199.00",2012,Delhi,Diesel,89398KM,Manual,1,7278
1224,Maruti,SwiftVDI,"£349,799.00",2014,Delhi,Diesel,72597KM,Manual,1,7781
1225,Maruti,SwiftLXI OPT,"£457,299.00",2015,Delhi,Petrol,56109KM,Manual,1,10172
1226,Hyundai,Grand i10SPORTZ (O) 1.2 AT VTVT,"£521,000.00",2017,Delhi,Petrol,39242KM,Manual,1,11589
